repeticao,ari_reamostragem,silhueta_reamostragem,davies_bouldin_reamostragem,ari_perturbaca
80,1.0,0.9426192039273059,0.5139814363060519,1.0
81,0.9673511874186096,0.9409159438735145,0.6122210077735883,1.0
82,0.9596198141517939,0.9533282464533573,0.6156408554008376,1.0
83,0.9079667021049439,0.937334673397882,0.5697531069765541,1.0
84,0.9693034625860516,0.9427548651799466,0.6092118787919177,1.0
85,1.0,0.9440376911713482,0.5916964448169296,1.0
86,0.8214449852695386,0.9340177902732116,0.6058153417818765,1.0
87,0.7976187686188766,0.9180138443818872,0.5901730087068359,1.0
88,0.9692874101549054,0.9386263147134777,0.5102442825226153,1.0
89,0.9710325827779378,0.9424377468596582,0.6312267058961685,1.0
90,1.0,0.94706571074515,0.6355394230883985,1.0
91,0.9625787964221187,0.94437635946195,0.6018174534649792,1.0
92,1.0,0.9422104158613142,0.5132440230390068,1.0
93,0.9673511874186096,0.9430935167623066,0.5970427086309033,1.0
94,0.9625787964221187,0.9482158140207296,0.595196464466255,1.0
95,0.9277843331872133,0.9366249572211883,0.5370518455843126,1.0
96,1.0,0.946388032378729,0.6355588456991631,1.0
97,1.0,0.9462625759620343,0.592155041158745,1.0
98,0.9278214255670478,0.9407625009389792,0.5598260033691104,1.0
99,0.7307055391001236,0.9203875806641113,0.5577383212946784,1.0
100,0.92233612545777,0.9504974879769941,0.6208156212589768,1.0
101,0.8467103606265763,0.9301153945689656,0.5974231455323041,1.0
102,1.0,0.9476020137947183,0.4124435801416853,1.0
103,1.0,0.9477627272374631,0.5973519971763392,1.0
104,1.0,0.9465460341976709,0.6404633442465495,1.0
105,1.0,0.9411422027962224,0.4807228942102017,1.0
106,0.8467103606265763,0.9321246291335554,0.6426007704804895,1.0
107,1.0,0.9461676760384732,0.6076151750252564,1.0
108,0.9278214255670478,0.9500729602273531,0.6051686509438919,1.0
109,0.8103515982469639,0.9253154983181693,0.5070558830723938,1.0
110,1.0,0.946154349165758,0.6084121608392702,1.0
111,1.0,0.9416865397751552,0.5676770645362087,1.0
112,1.0,0.9440458493836407,0.5165806431092234,1.0
113,1.0,0.9436893260159418,0.6032083635362894,1.0
114,0.03696390375759851,0.6026359630811574,1.105737610084624,1.0
115,0.8368775740241523,0.9279896253253711,0.5206304325857005,1.0
116,1.0,0.9354721465479444,0.5378218330635981,1.0
117,1.0,0.946314092402299,0.5100582383253606,1.0
118,0.050966147933531686,0.6174418122474868,1.128393473526005,1.0
119,0.03803338222853877,0.5931345335670208,1.1064436422591288,1.0
120,1.0,0.9431051804245648,0.5017078363799733,1.0
121,0.9693034625860516,0.9418916982984286,0.6211275462084364,1.0
122,0.03898980358740152,0.6158813511709287,1.1355009635394555,1.0
123,0.9693034625860516,0.9380639373790665,0.5833988184848004,1.0
124,0.7855408218988265,0.9220611333611307,0.5941935612780845,1.0
125,0.9519870252462928,0.9505252651707322,0.4959860613648555,1.0
126,1.0,0.9468241734413075,0.6116877780627221,1.0
127,0.9651295838678345,0.9421405639643943,0.61032320275083,1.0
128,1.0,0.9437041564785412,0.5923692601767755,1.0
129,0.7563873713772152,0.9310840397396634,0.5926545923178335,1.0
130,0.9625787964221187,0.9496413674914779,0.5885104908153272,1.0
131,1.0,0.9487142412206967,0.5055947595654314,1.0
132,1.0,0.9458416574577833,0.6210585930022675,1.0
133,1.0,0.9443072651676286,0.6325732298888447,1.0
134,0.052111858267402826,0.623046324245302,1.1166402099452457,1.0
135,1.0,0.9416606340259023,0.6233180824000955,1.0
136,1.0,0.9449058528547218,0.5060643249684466,1.0
137,0.9651295838678345,0.94308706781389,0.6352619538347773,1.0
138,1.0,0.9418345136191202,0.4904891844241912,1.0
139,0.8553442192474723,0.935785818372723,0.5742958245496242,1.0
140,0.9625787964221187,0.9509553777641198,0.5979647764480259,1.0
141,1.0,0.9436225121666548,0.6005696356638401,1.0
142,0.8954532279590395,0.9378136269808944,0.5913113497641102,1.0
143,1.0,0.9391916073480957,0.5051664912850653,1.0
144,0.9596198141517939,0.9441701545253569,0.5922716814862008,1.0
145,0.9367347698111926,0.9405997381695738,0.5796440200205376,1.0
146,1.0,0.9422599146851479,0.4757855277874898,1.0
147,0.6457745600860058,0.9169596603848397,0.5461153463409099,1.0
148,1.0,0.9450157574782454,0.6150650282608052,1.0
149,1.0,0.9437946162478626,0.5121865293869451,1.0
150,0.8630446069938662,0.9306793693196116,0.6374620245338877,1.0
151,0.8311287262019895,0.9277019011972026,0.5181376217106743,1.0
152,0.5084346902833924,0.9058570917478405,0.6338946552308572,1.0
153,0.8104505257203916,0.9340914077812273,0.5979486425988564,1.0
154,0.9079667021049439,0.9402846334151201,0.6058734720492102,1.0
155,0.9673511874186096,0.9437767347103667,0.6275316247770775,1.0
156,0.9159364730001598,0.951732648263279,0.6145233688171753,1.0
157,1.0,0.9490244690789819,0.5964505609882677,1.0
158,0.028732694455917356,0.5989308811056634,1.0729655036151655,1.0
159,0.908373079872279,0.9506924643427452,0.6269945188620435,1.0
160,0.913105030254442,0.9330182892360045,0.5209006964672063,1.0
161,0.9673511874186096,0.9399660810006596,0.5867514463223441,1.0
162,0.8213512454425912,0.9346462311746364,0.5218384544033627,1.0
163,0.8652360485474277,0.9309906078319854,0.6003797353422459,1.0
164,0.9131507167863137,0.9383570341680888,0.5925237264886841,1.0
165,0.7978853890863256,0.9237385781225139,0.5249291845034987,1.0
166,0.9651295838678345,0.9438938017490838,0.6188355978093142,1.0
167,1.0,0.9462713934513688,0.5911332753134054,1.0
168,0.847831408363299,0.9322917112268811,0.5946603845086252,1.0
169,1.0,0.9446694198384837,0.6107084687197392,1.0
170,0.047296011766075674,0.5912967587545047,1.147532557371494,1.0
171,1.0,0.9429856452097382,0.495505935460179,1.0
172,0.8467103606265763,0.9332729672211987,0.5880201403139748,1.0
173,0.9159364730001598,0.9541144914549274,0.6076546642746813,1.0
174,0.9519870252462928,0.947468426858431,0.4742809680812077,1.0
175,0.8561230437755541,0.9587635376001846,0.6181652261449943,1.0
176,0.9651295838678345,0.9487269922780827,0.6155731823225644,1.0
177,1.0,0.9431351742376771,0.6208824003949851,1.0
178,1.0,0.9452897969068149,0.5950882351839251,1.0
179,0.9673511874186096,0.9420067607539977,0.5926391749585314,1.0
180,1.0,0.9456979917881218,0.6001181269056288,1.0
181,0.8877484964395672,0.9287044846229028,0.43708243843895017,1.0
182,0.92233612545777,0.948230377319159,0.5589282805671277,1.0
183,0.8735493460762946,0.928727889023412,0.6104000952560085,1.0
184,0.9277843331872133,0.9416105671009932,0.4788742258521306,1.0
185,1.0,0.9431549411427468,0.6041466252138498,1.0
186,1.0,0.9472950667657919,0.5061456808958575,1.0
187,0.9079667021049439,0.9374476221470907,0.5729394365275874,1.0
